Job Title,Salary Estimate,Job Description,Company Name,Rating,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Associate Data Scientist,Employer Provided Salary:$85K - $110K,"Are you ready to be a BOSS?
BOSS AI is looking for the diamonds in the rough, the scrappers, those who are underappreciated and ready to conquer the world, we supply generous stock options, benefits, a 401k, and a remote working environment for our team.
Are you looking for the opportunity to stretch your skills while driving the execution of customer solutions that will fundamentally transform business? Are you ready to highlight your talents in a fast-paced growing organization?
As a BOSS AI Associate Data Scientist, you will build comprehensive solutions including various forms of machine learning, reinforcement learning, predictive simulation modeling, etc.… which are fundamental building blocks of our digital transformation solutions.",BOSS AI,-1.0,"Nashville, TN",-1,-1,-1,-1,-1,-1
Data Scientist,$59K - $121K (Glassdoor est.),"Our analytics team pushes the boundaries of technology. We tackle challenging problems in the fields of data science and machine learning research to develop solutions from early prototypes to fully-fledged production-ready systems in the cloud and on the edge. We are looking to recruit highly motivated engineers and scientists that can successfully rise to the diverse challenges in the emerging market of Internet of Things. Currently, we are seeking a Data Scientist to join our team and be based in Chicago.

Above all, we are looking for people who will contribute to the success of relayr. We love diverse experiences, so even if you don’t meet all the requirements but think you’d thrive in this role, we would really like to learn more about you.
Your responsibilities:
Help Relayr build the world’s most advanced IoT Cloud Platform",RELAYR,3.7,"Chicago, IL",-1,-1,-1,-1,-1,-1
Data Scientist,$91K - $190K (Glassdoor est.),"Introduction
As a Data Scientist at IBM, you will help transform our clients’ data into tangible business value by analyzing information, communicating outcomes and collaborating on product development. Work with Best in Class open source and visual tools, along with the most flexible and scalable deployment options. Whether it’s investigating patient trends or weather patterns, you will work to solve real world problems for the industries transforming how we live.

Your Role and Responsibilities

IBM Software Expert Labs is hiring a Data Scientist who is passionate about helping Government clients use the latest Data and AI computing technologies to solve their real-world problems. You will work closely with Government clients and IBM consultants, technology experts, and product development teams to collect, organize and analyze data to use Data Science and AI to address mission needs.

As a Data Science in the IBM Software Expert Labs Delivery organization, you will work an agile, collaborative environment, partnering with customer stakeholders, to develop mission-based solutions with US Government customers to:
EXPERTLABS22





None",IBM,4.1,"Washington, DC",-1,-1,-1,-1,-1,-1
Data Scientist,-1,"JOB DESCRIPTION AND POSITION REQUIREMENTS:
We are searching for a junior Engineers, Scientists, Data Scientists, and Software Developers to join our Geospatial, Imaging, and Data Sciences (GIDS) Division at the Applied Research Laboratory (ARL) at Penn State University. ARL/Penn State’s purpose is to research and develop innovative solutions to challenging scientific, engineering, and technology problems in support of the Navy, the Department of Defense (DoD), and the Intel Community (IC). If you are inherently curious, adaptable and interested in actively participating in research efforts with applications in defense, law enforcement, security, disaster relief, human geography, disaster preparedness, and first response, read on! We are a learning-centric organization that cultivates an environment where creative ideas and people thrive while working together on multi-disciplinary teams, for the advancement of our national security mission.
You will:",Penn State University,4.2,"University Park, FL",-1,-1,-1,-1,-1,-1
Data Scientists,$86K - $162K (Glassdoor est.),We are always looking for Data Scientists who want to work on challenging and interesting projects in a variety of industries.,Ars Quanta,5.0,"Seattle, WA",-1,-1,-1,-1,-1,-1
Data Scientist III,$66K - $105K (Glassdoor est.),"The Data Scientist III provides and executes solutions to the most highly complex business problems and unique technical problems by using data analysis, data mining, optimization tools, and machine learning techniques to build models and analyze large scale data from a variety of sources.

This position present insights and recommendations to leaders for decision making and strategic planning. The role builds data science knowledge and awareness with teams through trainings and workshops. May direct the work of other team members and will be responsible for overseeing the design, implementation and delivery of processes, programs and policies using specialized knowledge and skills.
Licensure, Certification, or Registration Requirements for Hire: None

Licensure, Certification, or Registration Requirements for continued employment:

Experience REQUIRED:
5+ years of relevant work experience in the healthcare industry or comparable field in a project management of analytics role to include 4+ years of experience in strategic analysis, financial analysis, consulting or engineering
Expert knowledge of a variety of machine learning techniques (clustering, decision tree learning, artificial neural networks, etc.) and their real-world advantages/drawbacks
Expert knowledge of multiple statistical/machine learning computer languages (R, Python, SQL, JavaScript, Scala, Julia, etc.) to manipulate data and draw insights from large data sets.
Ability to make and coordinate modifications to existing functionality on all models platforms as well as the skill to troubleshoot as needed.

Experience PREFERRED
8+ years of relevant work experience in the healthcare industry or comparable field in a project management or analytics role
5+ years of experience in Data science field

Education/training REQUIRED:
Master’s Degree in quantitative discipline (mathematics, statistics, economics, data science, and/or related field)
Knowledge of and application of healthcare research resources.
Proficiency in the use of Microsoft Office suite – Excel, PowerPoint, SharePoint, MS Project
Expert knowledge of at least one visualization tool – Tableau or Power BI
Proven problem solving and analytical skills
Excellent oral and written communication skills

Education/training PREFERRED:
Experience using SQL and/or SAS and Database Management Systems
Experience using R or Python to analyze big data sets is a plus
Prior leadership experience

Independent action(s) required:
Manages all business activities, ranging from coordination of project logistics to conducting key analytics and presenting key findings to business stakeholders.
Applies advanced technical expertise in developing new and innovative analytical concepts to meet organizational needs.
Provides technical leadership and support for data quality technology, including development, data profiling, and data quality assessments.
Identify areas of opportunity for business efficiency and
Propose, design, develop and implement solutions to analyze highly complex data

Supervisory responsibilities (if applicable):
May serve as team lead for other team members depending on team growth.

Additional position requirements:
Willingness to adjust work hours to deliver department needs within tight deadlines.

Age Specific groups served:
Physical Requirements (includes use of assistance devices as appropriate):
Physical Lifting less than 20 lbs.
Activities: Prolonged sitting, Repetitive motion
Mental/Sensory: Strong recall, Reasoning, Problem solving, Hearing, Speak clearly, Write legibly, Reading
Emotional: Fast pace environment, Able to handle multiple priorities, Frequent and intense customer interactions, Able to adapt to frequent change
Workday Day (United States of America)",Virginia Commonwealth University,3.9,"Richmond, VA",-1,-1,-1,-1,-1,-1
"Data Scientist, Mid",$66K - $126K (Glassdoor est.),"Dark Wolf Solutions is looking for a Data Scientist to use statistical, analytical, machine learning and Natural Language Processing tools to develop innovative solutions for our clients' toughest challenges. The ideal candidate will provide support in the areas of data extraction, transformation and loading (ETL), data mapping, data analytics, regression and time series modeling, and maintenance support of data and associated systems. The selected candidate must be comfortable communicating with a wide range of stakeholders and functional teams as well as writing reports.
Other responsibilities include:
Provide support in the areas of data extraction, transformation and loading (ETL), data mapping, analytical support, model support, operational support, database support, and maintenance support of data and associated systems",Dark Wolf Solutions,4.9,"Springfield, VA",-1,-1,-1,-1,-1,-1
Data Scientist- Cognition,$88K - $184K (Glassdoor est.),"About Akili
At Akili Interactive, our mission is to ignite new hope for those living with cognitive impairment. We're bringing together world-class neuroscience with the latest technology and video game entertainment to create a new class of digital medicines, delivered through captivating video game experiences. We are out to prove that effective medicine for serious illnesses can also be fun and engaging.
Our flagship product, EndeavorRx, is the first ever FDA-cleared prescription treatment delivered through a video game to treat children living with ADHD. This is only the beginning, as we continue to boldly challenge the status quo of today's medicine.
Diversity and Inclusion
Diversity and inclusion are incredibly important to all of us. We are committed to hearing all voices. Akili Interactive provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, sex, national origin, age, disability, genetics, sexual orientation, gender identity or gender expression.

We are looking for someone to help us build the next generation of digital therapeutics and to work with us as we change the future of medicine forever. As a Cognitive Data Scientist on the Applied Data Team, you will develop statistical models and algorithms aimed to understand, measure and improve cognition.",Akili Interactive,4.3,"Boston, MA",-1,-1,-1,-1,-1,-1
"Cloud Infrastructure Architect, Data Science Solutions",Employer Provided Salary:$180K - $195K,"We are a company of passionate individuals striving to improve healthcare and patient experiences. Our evidence-based medical content and software tools empower both payers and providers to make the best decisions for patients. Our work makes a difference in the quality of care that hundreds of thousands of patients receive each day and we're proud of our positive impact.
The Cloud Infrastructure Architect on the Data Science Solutions team is an individual contributor on an Agile development team responsible for designing and building solutions to support our data science efforts. This role collaborates with the Data Science Solutions leadership team to establish technical standards, and coordinates with MCG's architects to define the technical architecture and engineering practices for high quality solution development. We're a fast-paced, ""startup within"" group working on exciting new projects in data science at MCG, and are seeking to build a team of diverse, creative, and imaginative individuals to contribute to our innovation efforts. If you're an expert engineer with proven results in delivering quality solutions, we'd love your help in our mission to improve healthcare!
In this role, you'll be a key player that supports the Data Science Solutions team by:",MCG Health,4.6,Remote,-1,-1,-1,-1,-1,-1
Sr. Machine Learning Data Scientist - Telecommute,$75K - $134K (Glassdoor est.),"Combine two of the fastest-growing fields on the planet with a culture of performance, collaboration and opportunity and this is what you get. Leading edge technology in an industry that is improving the lives of millions. Here, innovation is not about another gadget; it is about making health care data available wherever and whenever people need it, safely and reliably. There is no room for error. If you are looking for a better place to use your passion and your desire to drive change, this is the place to be. It's an opportunity to do your life's best work.(sm)

The Commercial data Science team within Optum Insight (OI) Payer Analytics is expanding. We are looking for experienced Data Scientists to join this growing team. This individual will be responsible on the development and delivery of large and complex predictive modeling projects for healthcare Payment Integrity processes. Senior Data Scientist develops innovative and effective approaches to solve client's analytics problems and communicates results and methodologies. Sr. Data Scientist also provides directions and guidelines to Data Scientists to discover business insights, identifies opportunities, and provides solutions and recommendations to solve business problems through the use of statistical, algorithmic, data mining, and visualization techniques. In addition to advanced analytic skills, Sr. Data Scientist is also proficient at integrating and preparing large, varied datasets, architecting specialized database, and computing environments, and communicating results. You’ll be rewarded and recognized for your performance in an environment that will challenge you and give you clear direction on what it takes to succeed in your role as well as provide development for other roles you may be interested in.",Optum,3.7,"Eden Prairie, MN",-1,-1,-1,-1,-1,-1
Senior Data Scientist (REMOTE),-1,"You are a driven and motivated problem solver ready to pursue meaningful work. You strive to make an impact every day & not only at work, but in your personal life and community too. If that sounds like you, then you've landed in the right place.
The Hartford seeks an energetic and passionate Sr. Data Scientist within Claims Data Science to focus on designing, developing and implementing solutions that will make an impact on our business. As a Data Scientist you will focus on developing analytic and predictive modeling solutions that feature engineering assets, experimental design, as well as modeling techniques and abilities. Our Data Scientist toolbox consists of but not limited to predictive Modeling Techniques, Machine Learning, Cognitive Computing, Unsupervised learning, and Augmented intelligence.
As a Data Scientist you will support and explore those assets overtime through customer adoption and establishing a rhythm within the data science community. Responsibilities include mentoring other Data Scientists to develop, test, validate, and maintain robust tools using supervised and / or unsupervised techniques through new products and services, customer segments, and competitive strategies.
$98,800 - $148,200
Sr Data Scientist - GD07AE",The Hartford,4.0,"Charlotte, NC",-1,-1,-1,-1,-1,-1
Senior Data Scientist,Employer Provided Salary:$130K - $195K,"COMPANY: Our client is one of the largest US based financial institutions. They are a very well-established organization that is consistently growing and emerging into new custom innovative technology solutions (in the FinTech industry). This candidate can live in the New England state area and the position is remote (somewhat hybrid when necessary).
RESPONSIBILITIES:
· Work well as part of an interdisciplinary team whose members will include data scientists, software engineers, data engineers and product managers.
· Build data science applications from inception to production
· Be able to present and communicate key findings and project progress to senior business leaders",Virtual Synergie Solutions,-1.0,"New York, NY",-1,-1,-1,-1,-1,-1
Senior Data Scientist,-1,"Designs, develops, and operates as an independent consultant in regard to methods and systems to generate actionable insights and solutions for our clients. Interacts with product and service teams to identify questions and approaches for data analysis and experiments. Develops and codes algorithms and automated processes to cleanse, integrate and evaluate large datasets from multiple sources. Identifies meaningful insights from “big data” sources. Serves as direct voice to business partners on the application of data science.
Completes detailed analytics and provides clear and compelling recommendations to senior leaders.
Work within a given strategy to support programs with minimal direction.
Exercise independent judgement in methods, techniques, and evaluation criteria for obtaining results.",H&R Block,3.8,Missouri,-1,-1,-1,-1,-1,-1
Data Scientist II - Cell and Gene Therapy,-1,"Location: LOC_HUB-Hub for Clinical Collaboration
Req ID: 192012
Shift: Days
Employment Status: Regular - Full Time
About Us
We’re seeking breakthrough makers! Children’s Hospital of Philadelphia was built on the belief that we can change lives. Today, in every role throughout our hospital, research institute and care network, the 22,000 members of our workforce are finding new ways – big and small – to make a difference for the patients and families we serve.
If you are ready to challenge yourself, be inspired and grow – no matter what your role – you just may be the kind of breakthrough maker who will thrive at CHOP.
CHOP is proud to share that we are ranked No. 1 on Forbes' 2022 list of America's Best Large Employers!
Job Summary",Children's Hospital of Philadelphia,3.8,"Philadelphia, PA",-1,-1,-1,-1,-1,-1
"Senior Scientist, Data Science",$90K - $175K (Glassdoor est.),"Overview:
The Data Scientist will be an imperative member of Invicro’s growing AI Team. We are looking for well-organized, talented people with a deep knowledge in programming, data processing, automation, statistics and machine learning. The Data Scientist uses mathematics, statistics, modeling, analysis, and technology to transform high volumes of complex imaging data into advanced, interpretable analytic solutions.
This role includes a few more targeted development areas, most prominently within oncology imaging and model development. Specific projects will include work in whole body PET/CT image processing algorithms and software development, in data curation around imaging and multi-modal data/metadata, and in model development for curated multi-modal oncology data sets.",Invicro,3.4,"Needham, MA",-1,-1,-1,-1,-1,-1
Human-in-the-Loop Data Extractor/Transcriber,-1,"Introduction
At IBM, work is more than a job - it's a calling: To build. To design. To code. To consult. To think along with clients and sell. To make markets. To invent. To collaborate. Not just to do something better, but to attempt things you've never thought possible. Are you ready to lead in this new era of technology and solve some of the world's most challenging problems? If so, lets talk.

Your Role and Responsibilities
Will be responsible for assisting the Operations team with both Regression Testing and Hyper-Science human-in-the-loop transcriptions. Regression testing involves manually testing a random sampling of packets looking at the bot performance and any potential defects. Human-in-the-loop transcriptions involves manually transcribing fields that Hyper-Science is not >98% confident in that extraction.

Job Duties:
Job Duty 1 – Data Extraction/Transcription -90%
Job Duty 2 – Administrative Requirements -10%





Must be able to gain security clearance through Dept. of Veterans Affairs",IBM,4.1,Virginia,-1,-1,-1,-1,-1,-1
Data Scientist (Entry/Mid-Level),$51K - $112K (Glassdoor est.),"Data Scientist (Entry/Mid Level)
About Alynix
Alynix has formed a team of industry experts to solve the most challenging problems using quantitative analysis, machine learning and remote sensing. A dedicated group of technologists working with parent company GBA, which brings over 50 years of experience in the engineering industry, Alynix focuses on implementing advanced remote sensing and geospatial technologies in engineering and infrastructure applications. Learn more about Alynix’s services, hardware and software solutions by visiting Alynix.com.
The Role
We are looking for an entry or mid-level Data Scientist who is passionate about leveraging cutting-edge analytical techniques and their potential application in a diverse range of problem sets including infrastructure engineering, sustainability, water resource management, forestry and agriculture.
What You’ll Do",Alynix,-1.0,"Lenexa, KS",-1,-1,-1,-1,-1,-1
Data Scientist,$82K - $162K (Glassdoor est.),"We are seeking a Data Scientist to support the daily operations of the National Nuclear Security Administration (NNSA). In this role, an applicant should expect to perform research from data collected from a variety of data sources, including unstructured data accrued through quantitative and qualitative content analytics. The applicant will also be responsible for shifting through data found in a variety of databases using SQL and API interfaces. Data is expected to be managed through leverage automation and machine learning. An ideal candidate should be prepared to travel up to 10% annually for this position.
REQUIRED QUALIFICATIONS
DoD TS, DOE Q clearance or the ability to obtain one within 3 months of award
Bachelor’s degree in a highly quantitative subject or related field (for example, statistics, mathematics, economics, or related field) and 12 years of experience","Contact Government Services, LLC",-1.0,"Germantown, MD",-1,-1,-1,-1,-1,-1
Associate Decision Scientist-Customer Relationship Analytics-Totaltech,-1,"As the Associate Decision Scientist-Customer Relationship Analytics you will work to provide valuable information to the enterprise about the customer’s relationship with Best Buy. You will use your analytic and problem-solving skills to collaborate with business partners, data scientists, and data engineers to develop insights into drivers of membership engagement.
Decision Science is the multi-disciplined practice of extracting value from data—problem-solving using curiosity, scientific methods, processes, algorithms, platforms, and systems to extract knowledge and insights from structured and unstructured data. Decision Science professionals answer business questions, using database queries, business intelligence solutions, and statistical techniques to understand and explain business performance and identify business opportunities.

What will you do?
Perform analytics to support business clients
At Best Buy, we believe our company’s success depends on the passion and creativity of our amazing employees. To create environments in which our people can fully thrive, we turn to our guiding behaviors: Be human. Make it real. Think about tomorrow. These set the tone for Best Buy, along with our Rallying Cry: Let’s talk about what’s possible. Our supportive leaders collaborate with their teams through ongoing feedback and two-way dialogue to maintain a culture continual learning. All these factors combine to create an unbeatable experience for both customers and employees. If you like to have fun while you work, build confidence, and grow your career, you will fit right in!",Best Buy,3.7,"Richfield, MN",-1,-1,-1,-1,-1,-1
